Species,Colony,Dep_lon,Dep_lat,Time_on,Band_num,Colour_band,GPS,TDR,Mass_on,Stage_on,Time_off,Mass_off,Stage_off
TBMU,CGM,-76.0953,72.94248,2016-07-30 10:27,99696582,,CGM04,1186,975,E,,,
TBMU,CGM,-76.0953,72.94248,2016-07-30 10:48,99696581,,CGM06,1171,915,E,2016-08-04 13:30,930,
TBMU,CGM,-76.0953,72.94248,2016-07-30 11:16,99696583,,CGM05,1180,1005,C,2016-08-01 21:09,890,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 11:40,99696584,,CGM14,1168,955,E,2016-08-01 20:48,870,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 12:00,99696585,,CGM17,1175,995,E,2016-08-01 21:11,930,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 12:22,99696586,,URI12,1177,955,C,2016-08-04 13:40,810,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 12:41,99696587,,CGM10,1162,955,,2016-08-01 20:07,870,
TBMU,CGM,-76.0953,72.94248,2016-07-30 13:01,99696588,,CGM02,1178,915,C,2016-08-01 20:32,850,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 13:57,99696589,,CGM13,1164,895,C,2016-08-01 20:41,870,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 14:25,99696590,,CGM16,1182,1015,E,2016-08-01 20:25,910,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 14:36,99696591,,CGM12,1179,1005,E,2016-08-01 20:17,890,
TBMU,CGM,-76.0953,72.94248,2016-07-30 14:58,99696592,,CGM08,1163,935,E,2016-08-04 13:15,890,
TBMU,CGM,-76.0953,72.94248,2016-07-30 15:13,99696593,,CGM03,1166,975,C,,,
TBMU,CGM,-76.0953,72.94248,2016-07-30 15:33,99696594,,CGM09,1188,945,,2016-08-04 13:24,900,C
TBMU,CGM,-76.0953,72.94248,2016-07-30 16:02,99696595,,URI09,1181,955,C,2016-08-01 23:46,870,C
TBMU,CGM,-76.0953,72.94248,2016-08-01 22:23,99696596,,URI06,1160,870,,2016-08-14 21:15,790,FB
TBMU,CGM,-76.0953,72.94248,2016-08-01 22:52,99696597,,CGM07,1167,950,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-01 23:20,99696598,,CGM11,1185,910,C,2016-08-05 22:36,820,
TBMU,CGM,-76.0953,72.94248,2016-08-01 23:41,99696599,,CGM15,1165,930,C,2016-08-04 14:58,850,C
TBMU,CGM,-76.0953,72.94248,2016-08-02 0:01,99696600,,URI04,1161,970,C,2016-08-04 14:05,890,C
TBMU,CGM,-76.0953,72.94248,2016-08-02 20:19,99698851,,CGM01,,1130,C,2016-08-11 14:13,940,C
TBMU,CGM,-76.0953,72.94248,2016-08-02 20:39,99698852,,URI01,,1030,E,2016-08-05 23:57,930,E
TBMU,CGM,-76.0953,72.94248,2016-08-02 21:05,99698853,,URI02,,990,E,2016-08-06 1:07,870,
TBMU,CGM,-76.0953,72.94248,2016-08-02 21:34,99698854,,URI03,,910,,,,
TBMU,CGM,-76.0953,72.94248,2016-08-02 22:00,99698855,,URI10,1168,970,E,2016-08-07 12:34,920,E
TBMU,CGM,-76.0953,72.94248,2016-08-02 22:16,99698856,,CGM16,1175,940,E,2016-08-07 12:48,880,E
TBMU,CGM,-76.0953,72.94248,2016-08-02 22:38,99698857,,URI09,1180,930,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-02 23:11,99698858,,CGM17,1182,930,C,2016-08-05 23:30,880,
TBMU,CGM,-76.0953,72.94248,2016-08-02 23:36,99698859,,CGM12,1181,960,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-02 23:53,99698860,,CGM05,1164,950,E,2016-08-05 20:00,870,E
TBMU,CGM,-76.0953,72.94248,2016-08-03 0:13,99698861,,CGM14,1162,870,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-03 0:44,99698862,,CGM10,1179,960,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-03 0:59,99698863,,CGM13,1178,880,C,2016-08-05 17:50,850,C
TBMU,CGM,-76.0953,72.94248,2016-08-05 18:15,99698864,,CGM15,1161,990,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-05 18:35,99698865,,URI12,1165,970,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-05 18:49,99698866,,CGM09,1188,990,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-05 19:08,99698867,,CGM06,1177,860,C,2016-08-07 11:17,820,C
TBMU,CGM,-76.0953,72.94248,2016-08-05 19:32,99698868,,URI04,1171,1110,E,,,
TBMU,CGM,-76.0953,72.94248,2016-08-05 19:55,99698869,,PICA10,1163,1010,C,2016-08-08 18:32,950,C
TBMU,CGM,-76.0953,72.94248,2016-08-08 12:45,99698870,,CGM13,1177,1040,E,2016-08-08 14:02,,FB
TBMU,CGM,-76.0953,72.94248,2016-08-08 13:55,99698871,,CGM06,1185,960,C,2016-08-11 10:21,920,C
TBMU,CGM,-76.0953,72.94248,2016-08-08 14:28,99698872,,CGM13,1177,950,C,2016-08-11 17:02,860,
TBMU,CGM,-76.0953,72.94248,2016-08-08 14:50,99698873,,CGM05,1168,1010,E,2016-08-11 10:37,920,E
TBMU,CGM,-76.0953,72.94248,2016-08-08 16:00,99698874,,CGM11,1182,1070,E,2016-08-11 10:30,980,E
TBMU,CGM,-76.0953,72.94248,2016-08-08 16:24,99698875,,CGM17,1175,870,C,2016-08-11 10:23,880,C
TBMU,CGM,-76.0953,72.94248,2016-08-08 16:51,99698876,,CGM16,1164,910,C,2016-08-12 14:21,810,C
TBMU,CGM,-76.0953,72.94248,2016-08-08 17:19,99698877,,URI01,1178,900,C,2016-08-11 10:43,870,C
TBMU,CGM,-76.0953,72.94248,2016-08-08 17:39,99698878,,URI02,,970,C,2016-08-11 17:52,925,C
TBMU,CGM,-76.0953,72.94248,2016-08-08 17:57,99698879,,URI10,,1140,E,2016-08-11 10:11,990,FB
TBMU,CGM,-76.0953,72.94248,2016-08-12 14:48,99698880,,CGM05,1168,870,C,2016-08-14 21:50,870,
TBMU,CGM,-76.0953,72.94248,2016-08-12 15:08,99698881,,CGM17,1175,820,C,,,
TBMU,CGM,-76.0953,72.94248,2016-08-12 15:28,99698882,,URI01,1163,940,C,2016-08-14 21:40,930,C
TBMU,CGM,-76.0953,72.94248,2016-08-12 15:44,99698883,,CGM11,1182,900,C,2016-08-14 21:58,930,C
TBMU,CGM,-76.0953,72.94248,2016-08-12 16:08,99698884,,CGM13,1178,880,,2016-08-15 14:44,870,
TBMU,CGM,-76.0953,72.94248,2016-08-12 17:45,99698885,,URI10,1185,870,C,2016-08-14 21:30,830,C
TBMU,CGM,-76.0953,72.94248,2016-08-12 18:11,99698886,,URI02,1177,870,C,2016-08-15 14:54,880,C
TBMU,CGM,-76.0953,72.94248,2016-08-12 18:31,99698887,,CGM01,,900,C,2016-08-14 22:07,910,C
