Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage
CGM12;2016;8;3;3;48;0;72.947300;-76.072183;0.7;87;3.95;;;;;;;;;7256838N;07604331W;
CGM12;2016;8;3;3;54;0;72.947733;-76.070900;0.3;54;3.95;;;;;;;;;7256864N;07604254W;
CGM12;2016;8;3;3;59;0;72.948250;-76.069833;1.3;7;3.96;;;;;;;;;7256895N;07604190W;
CGM12;2016;8;3;4;4;0;72.949167;-76.068100;0.4;11;3.96;;;;;;;;;7256950N;07604086W;
CGM12;2016;8;3;4;9;0;72.949967;-76.067417;7.1;9;3.96;;;;;;;;;7256998N;07604045W;
CGM12;2016;8;3;4;15;0;72.968117;-76.109883;32.;32;3.96;;;;;;;;;7258087N;07606593W;
CGM12;2016;8;3;4;20;0;72.942800;-76.094500;0.4;5;3.97;;;;;;;;;7256568N;07605670W;
CGM12;2016;8;3;4;25;0;72.942867;-76.094317;0.7;9;3.97;;;;;;;;;7256572N;07605659W;
CGM12;2016;8;3;4;30;0;72.942783;-76.094067;0.2;5;3.97;;;;;;;;;7256567N;07605644W;
CGM12;2016;8;3;4;35;0;72.942883;-76.094517;0.9;8;3.97;;;;;;;;;7256573N;07605671W;
CGM12;2016;8;3;4;40;0;72.942933;-76.094017;3.7;10;3.97;;;;;;;;;7256576N;07605641W;
CGM12;2016;8;3;4;45;0;72.943017;-76.093850;36.;8;3.97;;;;;;;;;7256581N;07605631W;
CGM12;2016;8;3;4;50;0;72.942533;-76.094200;0.6;4;3.97;;;;;;;;;7256552N;07605652W;
CGM12;2016;8;3;4;56;0;72.942800;-76.094583;0.1;38;3.97;;;;;;;;;7256568N;07605675W;
CGM12;2016;8;3;5;1;0;72.942400;-76.094567;5.8;8;3.97;;;;;;;;;7256544N;07605674W;
CGM12;2016;8;3;5;6;0;72.943250;-76.094050;0.9;4;3.97;;;;;;;;;7256595N;07605643W;
CGM12;2016;8;3;5;11;17;;;;;;;;;;;;1;;;;3.98
CGM12;2016;8;3;5;16;0;72.944933;-76.079233;1.1;4;3.97;;;;;;;;;7256696N;07604754W;
CGM12;2016;8;3;5;21;0;72.945600;-76.076517;1.0;4;3.96;;;;;;;;;7256736N;07604591W;
CGM12;2016;8;3;5;26;0;72.946117;-76.073533;4.0;4;3.96;;;;;;;;;7256767N;07604412W;
CGM12;2016;8;3;5;31;0;72.946917;-76.069867;1.6;5;3.96;;;;;;;;;7256815N;07604192W;
CGM12;2016;8;3;5;36;0;72.947750;-76.067300;1.7;4;3.96;;;;;;;;;7256865N;07604038W;
CGM12;2016;8;3;5;41;0;72.960967;-76.063217;36.;4;3.96;;;;;;;;;7257658N;07603793W;
CGM12;2016;8;3;5;46;0;72.958117;-76.068333;1.0;4;3.97;;;;;;;;;7257487N;07604100W;
CGM12;2016;8;3;5;51;0;72.965400;-76.096517;43.;4;3.97;;;;;;;;;7257924N;07605791W;
CGM12;2016;8;3;5;57;4;;;;;;;;;;;;1;;;;3.98
CGM12;2016;8;3;6;2;0;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;6;56;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;11;52;;;;;;;;;;;;1;;;;3.98
CGM12;2016;8;3;6;16;48;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;21;44;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;26;40;;;;;;;;;;;;1;;;;3.98
CGM12;2016;8;3;6;31;36;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;36;32;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;41;28;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;46;24;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;51;20;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;6;56;16;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;1;12;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;11;6;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;16;2;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;20;58;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;25;54;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;30;50;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;35;46;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;40;42;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;45;38;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;50;34;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;7;55;30;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;8;0;26;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;8;5;22;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;8;10;18;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;8;40;4;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;8;50;0;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;8;59;54;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;4;52;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;9;48;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;19;43;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;24;40;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;29;36;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;39;30;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;44;28;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;49;24;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;9;59;18;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;10;4;15;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;10;9;12;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;10;14;9;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;10;24;3;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;10;29;0;;;;;;;;;;;;1;;;;3.99
CGM12;2016;8;3;10;33;56;;;;;;;;;;;;1;;;;3.99
