Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage
CGM12;2016;8;7;15;11;0;72.951333;-76.076300;0.7;6;3.81;;;;;;;;;7257080N;07604578W;
CGM12;2016;8;7;15;16;0;72.952167;-76.078817;1.9;6;3.82;;;;;;;;;7257130N;07604729W;
CGM12;2016;8;7;15;21;0;72.952717;-76.083367;0.4;7;3.81;;;;;;;;;7257163N;07605002W;
CGM12;2016;8;7;15;26;0;72.952767;-76.086283;0.3;9;3.82;;;;;;;;;7257166N;07605177W;
CGM12;2016;8;7;15;31;0;72.953300;-76.089717;0.4;8;3.82;;;;;;;;;7257198N;07605383W;
CGM12;2016;8;7;15;36;0;72.953617;-76.093467;0.9;9;3.82;;;;;;;;;7257217N;07605608W;
CGM12;2016;8;7;15;41;0;72.954667;-76.096617;0.9;7;3.82;;;;;;;;;7257280N;07605797W;
CGM12;2016;8;7;15;46;0;72.955750;-76.100600;1.5;6;3.82;;;;;;;;;7257345N;07606036W;
CGM12;2016;8;7;15;51;0;72.956583;-76.102067;0.8;8;3.82;;;;;;;;;7257395N;07606124W;
CGM12;2016;8;7;15;57;0;72.956050;-76.102000;1.1;8;3.82;;;;;;;;;7257363N;07606120W;
CGM12;2016;8;7;16;2;0;72.956117;-76.106883;0.9;8;3.82;;;;;;;;;7257367N;07606413W;
CGM12;2016;8;7;16;7;0;72.956017;-76.110817;1.3;8;3.82;;;;;;;;;7257361N;07606649W;
CGM12;2016;8;7;16;12;0;72.955733;-76.114100;1.0;6;3.82;;;;;;;;;7257344N;07606846W;
CGM12;2016;8;7;16;17;0;72.955917;-76.111533;1.2;12;3.82;;;;;;;;;7257355N;07606692W;
CGM12;2016;8;7;16;22;0;72.956083;-76.114150;0.3;8;3.82;;;;;;;;;7257365N;07606849W;
CGM12;2016;8;7;16;27;0;72.956000;-76.118400;0.6;8;3.82;;;;;;;;;7257360N;07607104W;
CGM12;2016;8;7;16;32;0;72.954867;-76.125367;1.0;12;3.82;;;;;;;;;7257292N;07607522W;
CGM12;2016;8;7;16;37;0;72.955867;-76.121250;2.7;19;3.82;;;;;;;;;7257352N;07607275W;
CGM12;2016;8;7;16;42;0;72.955250;-76.130150;0.1;8;3.82;;;;;;;;;7257315N;07607809W;
CGM12;2016;8;7;16;48;0;72.955333;-76.133350;0.3;7;3.82;;;;;;;;;7257320N;07608001W;
CGM12;2016;8;7;16;53;0;72.955217;-76.134700;0.8;8;3.82;;;;;;;;;7257313N;07608082W;
CGM12;2016;8;7;16;58;0;72.955400;-76.136500;0.9;6;3.82;;;;;;;;;7257324N;07608190W;
CGM12;2016;8;7;17;3;0;72.955533;-76.138567;0.6;11;3.82;;;;;;;;;7257332N;07608314W;
CGM12;2016;8;7;17;8;0;72.955783;-76.140733;0.4;6;3.82;;;;;;;;;7257347N;07608444W;
CGM12;2016;8;7;17;13;0;72.955883;-76.142633;0.6;7;3.82;;;;;;;;;7257353N;07608558W;
CGM12;2016;8;7;17;18;0;72.956067;-76.145300;0.1;9;3.82;;;;;;;;;7257364N;07608718W;
CGM12;2016;8;7;17;23;0;72.956033;-76.146833;0.2;7;3.82;;;;;;;;;7257362N;07608810W;
CGM12;2016;8;7;17;28;0;72.956217;-76.147950;0.3;6;3.82;;;;;;;;;7257373N;07608877W;
CGM12;2016;8;7;17;33;0;72.956467;-76.149350;0.3;7;3.82;;;;;;;;;7257388N;07608961W;
CGM12;2016;8;7;17;38;0;72.956533;-76.152850;0.8;7;3.82;;;;;;;;;7257392N;07609171W;
CGM12;2016;8;7;17;43;0;72.956233;-76.153667;0.9;6;3.82;;;;;;;;;7257374N;07609220W;
CGM12;2016;8;7;17;48;0;72.956650;-76.154717;0.3;6;3.82;;;;;;;;;7257399N;07609283W;
CGM12;2016;8;7;17;53;0;72.956667;-76.156350;0.4;5;3.82;;;;;;;;;7257400N;07609381W;
CGM12;2016;8;7;17;58;0;72.956883;-76.157783;0.4;5;3.82;;;;;;;;;7257413N;07609467W;
CGM12;2016;8;7;18;3;0;72.957100;-76.158833;0.9;5;3.82;;;;;;;;;7257426N;07609530W;
CGM12;2016;8;7;18;8;0;72.957233;-76.160233;0.2;6;3.82;;;;;;;;;7257434N;07609614W;
CGM12;2016;8;7;18;13;0;72.957400;-76.161567;1.3;5;3.82;;;;;;;;;7257444N;07609694W;
CGM12;2016;8;7;18;18;0;72.957483;-76.163300;0.6;5;3.82;;;;;;;;;7257449N;07609798W;
CGM12;2016;8;7;18;23;0;72.957400;-76.164717;0.5;6;3.82;;;;;;;;;7257444N;07609883W;
CGM12;2016;8;7;18;29;0;72.957667;-76.165583;0.3;6;3.82;;;;;;;;;7257460N;07609935W;
CGM12;2016;8;7;18;34;0;72.957683;-76.166833;0.3;7;3.82;;;;;;;;;7257461N;07610010W;
CGM12;2016;8;7;18;39;0;72.958050;-76.168500;0.3;8;3.82;;;;;;;;;7257483N;07610110W;
CGM12;2016;8;7;18;44;0;72.957967;-76.169133;0.3;7;3.82;;;;;;;;;7257478N;07610148W;
CGM12;2016;8;7;18;49;0;72.958033;-76.170667;0.3;7;3.82;;;;;;;;;7257482N;07610240W;
CGM12;2016;8;7;18;54;0;72.958283;-76.173750;0.2;7;3.82;;;;;;;;;7257497N;07610425W;
CGM12;2016;8;7;18;59;0;72.958167;-76.174017;1.1;7;3.82;;;;;;;;;7257490N;07610441W;
CGM12;2016;8;7;19;4;0;72.958567;-76.175917;0.4;7;3.82;;;;;;;;;7257514N;07610555W;
CGM12;2016;8;7;19;9;0;72.958467;-76.177317;0.5;6;3.82;;;;;;;;;7257508N;07610639W;
CGM12;2016;8;7;19;14;0;72.958517;-76.179283;1.2;7;3.82;;;;;;;;;7257511N;07610757W;
CGM12;2016;8;7;19;19;0;72.957750;-76.180217;1.0;6;3.82;;;;;;;;;7257465N;07610813W;
CGM12;2016;8;7;19;24;0;72.957767;-76.181867;1.0;7;3.82;;;;;;;;;7257466N;07610912W;
CGM12;2016;8;7;19;29;0;72.958550;-76.186467;1.0;7;3.82;;;;;;;;;7257513N;07611188W;
CGM12;2016;8;7;19;34;0;72.958867;-76.191117;0.7;7;3.82;;;;;;;;;7257532N;07611467W;
CGM12;2016;8;7;19;39;0;72.959617;-76.193767;0.9;6;3.82;;;;;;;;;7257577N;07611626W;
CGM12;2016;8;7;19;55;0;72.962183;-76.195533;0.9;7;3.81;;;;;;;;;7257731N;07611732W;
CGM12;2016;8;7;20;0;0;72.964083;-76.190517;27.;6;3.81;;;;;;;;;7257845N;07611431W;
CGM12;2016;8;7;20;5;0;72.999767;-76.175617;1.0;7;3.81;;;;;;;;;7259986N;07610537W;
CGM12;2016;8;7;20;10;0;73.000283;-76.176867;0.3;6;3.81;;;;;;;;;7300017N;07610612W;
CGM12;2016;8;7;20;15;0;73.000500;-76.177233;0.4;7;3.82;;;;;;;;;7300030N;07610634W;
CGM12;2016;8;7;20;20;0;73.000733;-76.177533;0.2;7;3.82;;;;;;;;;7300044N;07610652W;
CGM12;2016;8;7;20;25;0;73.001150;-76.177417;0.9;5;3.82;;;;;;;;;7300069N;07610645W;
CGM12;2016;8;7;20;30;0;73.002000;-76.177050;1.1;5;3.82;;;;;;;;;7300120N;07610623W;
CGM12;2016;8;7;20;35;0;73.003483;-76.178100;0.4;5;3.8;;;;;;;;;7300209N;07610686W;
CGM12;2016;8;7;20;41;0;73.004233;-76.175200;1.0;45;3.79;;;;;;;;;7300254N;07610512W;
CGM12;2016;8;7;20;46;0;73.005750;-76.176167;0.4;6;3.81;;;;;;;;;7300345N;07610570W;
CGM12;2016;8;7;20;51;0;73.006917;-76.174800;2.0;41;3.8;;;;;;;;;7300415N;07610488W;
CGM12;2016;8;7;20;56;0;73.007967;-76.173983;1.1;6;3.8;;;;;;;;;7300478N;07610439W;
CGM12;2016;8;7;21;1;0;73.009767;-76.173083;0.8;5;3.81;;;;;;;;;7300586N;07610385W;
CGM12;2016;8;7;21;6;0;73.010167;-76.172217;0.4;11;3.81;;;;;;;;;7300610N;07610333W;
CGM12;2016;8;7;21;12;0;73.010550;-76.173250;0.1;8;3.81;;;;;;;;;7300633N;07610395W;
CGM12;2016;8;7;21;17;0;73.011133;-76.174033;0.9;7;3.82;;;;;;;;;7300668N;07610442W;
CGM12;2016;8;7;21;22;0;73.011433;-76.174933;0.3;6;3.82;;;;;;;;;7300686N;07610496W;
CGM12;2016;8;7;21;27;0;73.011950;-76.175867;0.4;7;3.82;;;;;;;;;7300717N;07610552W;
CGM12;2016;8;7;21;32;0;73.012750;-76.176900;0.3;6;3.82;;;;;;;;;7300765N;07610614W;
CGM12;2016;8;7;21;37;0;73.013783;-76.176617;1.7;6;3.81;;;;;;;;;7300827N;07610597W;
CGM12;2016;8;7;21;52;0;73.017617;-76.179300;0.2;6;3.8;;;;;;;;;7301057N;07610758W;
CGM12;2016;8;7;21;57;0;73.019283;-76.180333;1.8;5;3.81;;;;;;;;;7301157N;07610820W;
CGM12;2016;8;7;22;8;0;73.021800;-76.183100;1.2;26;3.79;;;;;;;;;7301308N;07610986W;
CGM12;2016;8;7;22;18;0;73.025050;-76.182467;1.2;14;3.8;;;;;;;;;7301503N;07610948W;
CGM12;2016;8;7;22;23;0;73.025617;-76.182800;0.7;6;3.81;;;;;;;;;7301537N;07610968W;
CGM12;2016;8;7;22;28;0;73.026617;-76.183000;0.7;9;3.81;;;;;;;;;7301597N;07610980W;
CGM12;2016;8;7;22;33;0;73.027433;-76.183317;0.5;9;3.82;;;;;;;;;7301646N;07610999W;
CGM12;2016;8;7;22;38;0;73.028150;-76.184283;0.8;7;3.82;;;;;;;;;7301689N;07611057W;
CGM12;2016;8;7;22;43;0;73.029300;-76.183250;0.4;11;3.82;;;;;;;;;7301758N;07610995W;
CGM12;2016;8;7;22;48;0;73.029483;-76.182050;0.9;6;3.82;;;;;;;;;7301769N;07610923W;
CGM12;2016;8;7;22;53;0;73.030150;-76.179500;1.1;7;3.82;;;;;;;;;7301809N;07610770W;
CGM12;2016;8;7;22;59;0;73.030783;-76.176650;0.8;7;3.81;;;;;;;;;7301847N;07610599W;
CGM12;2016;8;7;23;4;0;73.031667;-76.177250;0.5;8;3.81;;;;;;;;;7301900N;07610635W;
CGM12;2016;8;7;23;9;0;73.032367;-76.177583;0.1;7;3.82;;;;;;;;;7301942N;07610655W;
CGM12;2016;8;7;23;14;0;73.033000;-76.177617;0.5;7;3.82;;;;;;;;;7301980N;07610657W;
CGM12;2016;8;7;23;19;0;73.033383;-76.177083;0.5;7;3.82;;;;;;;;;7302003N;07610625W;
CGM12;2016;8;7;23;24;0;73.033550;-76.176800;0.6;7;3.82;;;;;;;;;7302013N;07610608W;
CGM12;2016;8;7;23;29;0;73.034183;-76.172817;0.6;8;3.81;;;;;;;;;7302051N;07610369W;
CGM12;2016;8;7;23;34;0;73.015150;-76.132883;37.;7;3.8;;;;;;;;;7300909N;07607973W;
CGM12;2016;8;7;23;39;0;72.966350;-76.118933;39.;8;3.81;;;;;;;;;7257981N;07607136W;
CGM12;2016;8;7;23;44;47;;;;;;;;;;;;1;;;;3.82
CGM12;2016;8;7;23;44;48;;;;;;;;;;;;1;;;;3.82
CGM11;2016;8;8;19;56;0;72.942733;-76.094983;1.1;9;3.98;;;;;;;;;7256564N;07605699W;
CGM11;2016;8;8;19;56;0;72.942667;-76.095033;0.3;42;3.97;;;;;;;;;7256560N;07605702W;
CGM11;2016;8;8;19;57;0;72.942783;-76.094833;0.3;15;3.98;;;;;;;;;7256567N;07605690W;
CGM11;2016;8;8;19;57;23;;;;;;;;;;;;1;;;;3.99
CGM11;2016;8;8;19;58;0;72.942633;-76.094833;0.3;12;3.98;;;;;;;;;7256558N;07605690W;
CGM11;2016;8;8;19;58;48;;;;;;;;;;;;1;;;;3.99
